period,time_step,WindOffshore,WindOnshore,Price,Solar
5,1,0.02653288740245262,0.07174142878719227,33.1,0.0
5,2,0.010144927536231883,0.062226249811206766,32.28,0.0
5,3,0.021962095875139354,0.06766349494034134,31.18,0.0
5,4,0.0338907469342252,0.07884005437245128,30.1,0.0
5,5,0.05607580824972129,0.1013442078235916,29.96,0.0
5,6,0.08573021181716833,0.183204953934451,29.88,0.0
5,7,0.1189520624303233,0.21295876755777074,30.38,0.0
5,8,0.15139353400222966,0.24754568796254342,31.15,0.0
5,9,0.14871794871794872,0.2685394955444797,32.09,0.0
5,10,0.15953177257525084,0.31853194381513367,34.27,0.01
5,11,0.23076923076923078,0.33121884911644767,37.53,0.03333333333333333
5,12,0.28740245261984393,0.3197402205104969,38.99,0.04666666666666667
5,13,0.2778149386845039,0.3578009364144389,38.15,0.045
5,14,0.28082497212931995,0.34934299954689624,35.37,0.03833333333333333
5,15,0.27079152731326644,0.31369883703368073,34.44,0.028333333333333332
5,16,0.2496098104793757,0.31490711372904395,36.1,0.016666666666666666
5,17,0.24882943143812708,0.3386195438755475,40.59,0.0
5,18,0.250613154960981,0.3383174747017067,44.68,0.0
5,19,0.24749163879598662,0.3207974626189397,46.16,0.0
5,20,0.25785953177257526,0.3609726627397674,43.17,0.0
5,21,0.2677814938684504,0.372753360519559,35.0,0.0
5,22,0.29130434782608694,0.3697326687811509,33.79,0.0
5,23,0.2846153846153846,0.37954991693097717,34.9,0.0
5,24,0.2415830546265329,0.3676181845642652,31.0,0.0
8,1,0.3357859531772575,0.8885364748527412,25.27,0.0
8,2,0.342809364548495,0.8988068267633288,25.77,0.0
8,3,0.34370122630992195,0.8837033680712884,23.24,0.0
8,4,0.3435897435897436,0.865277148466999,19.76,0.0
8,5,0.3433667781493868,0.830237124301465,19.28,0.0
8,6,0.3206243032329989,0.7699743241202235,23.86,0.0
8,7,0.26053511705685617,0.7695212203594624,27.7,0.0
8,8,0.2346711259754738,0.7464129285606403,40.07,0.0
8,9,0.32954292084726866,0.7113729043951065,42.66,0.0
8,10,0.32998885172798215,0.6982328953330312,44.21,0.005
8,11,0.3124860646599777,0.6547349342999547,46.17,0.03666666666666667
8,12,0.28528428093645486,0.5763479836882646,46.18,0.065
8,13,0.26477146042363436,0.47832653677692194,46.85,0.08666666666666667
8,14,0.21471571906354514,0.42924029602779035,44.9,0.06833333333333333
8,15,0.15607580824972128,0.2979912399939586,46.04,0.056666666666666664
8,16,0.10579710144927536,0.260081558676937,46.33,0.043333333333333335
8,17,0.06967670011148272,0.1927201329104365,47.9,0.0016666666666666668
8,18,0.03835005574136009,0.16296631928711675,58.92,0.0
8,19,0.03701226309921962,0.1389518199667724,55.92,0.0
