Time,DAprice,Solar,WindOnshore,WindOffshore,EI
2020-01-01T00:00:00.0,41.88,0.0,0.0789910889593717,0.028428093645484948,446.3003518095661
2020-01-01T01:00:00.0,38.6,0.0,0.07219453254795348,0.05172798216276477,463.24682835490154
2020-01-01T02:00:00.0,36.55,0.0,0.07446005135175955,0.04927536231884058,474.20196602637617
2020-01-01T03:00:00.0,32.32,0.0,0.06479383778885364,0.06031215161649944,440.2053311760023
2020-01-01T04:00:00.0,30.85,0.0,0.06418969944117203,0.06376811594202898,412.71590443871315
2020-01-01T05:00:00.0,30.14,0.0,0.06554901072345568,0.05997770345596432,411.730860486398
2020-01-01T06:00:00.0,30.17,0.0,0.0601117655943211,0.04905239687848383,413.3842717130349
2020-01-01T07:00:00.0,30.0,0.0,0.05452348587826612,0.047157190635451506,410.76366430587063
2020-01-01T08:00:00.0,30.65,0.0,0.052409001661380454,0.03812709030100334,410.1999344553685
2020-01-01T09:00:00.0,30.65,0.006666666666666667,0.06132004228968434,0.06588628762541807,410.97582353259986
2020-01-01T10:00:00.0,30.27,0.03833333333333333,0.06403866485425162,0.07591973244147157,408.6149051418908
2020-01-01T11:00:00.0,30.34,0.06166666666666667,0.05769521220359462,0.08316610925306578,403.70373544680206
2020-01-01T12:00:00.0,30.99,0.07666666666666666,0.04712279111916629,0.12229654403567447,405.08655235823267
2020-01-01T13:00:00.0,30.04,0.06833333333333333,0.048331067814529526,0.11783723522853957,411.73944977751114
2020-01-01T14:00:00.0,30.75,0.06,0.05195589790061924,0.10412486064659977,420.36758656686015
2020-01-01T15:00:00.0,32.11,0.02,0.05980969642048029,0.08807134894091416,425.78741647945503
2020-01-01T16:00:00.0,35.98,0.0016666666666666668,0.05724210844283341,0.09866220735785954,440.0386962167003
2020-01-01T17:00:00.0,40.4,0.0,0.0663041836580577,0.12764771460423635,428.59255945711686
2020-01-01T18:00:00.0,44.05,0.0,0.06826763328802296,0.1862876254180602,361.35118420262893
2020-01-01T19:00:00.0,38.69,0.0,0.07385591300407793,0.18740245261984392,364.12211953843627
2020-01-01T20:00:00.0,42.62,0.0,0.08820419876151639,0.19018952062430322,376.263217813204
2020-01-01T21:00:00.0,40.68,0.0,0.08593867995771032,0.20379041248606466,381.98745480201075
2020-01-01T22:00:00.0,39.68,0.0,0.08729799123999396,0.23701226309921963,384.03340958438423
2020-01-01T23:00:00.0,31.47,0.0,0.08563661078386951,0.2084726867335563,383.24904078496274
2020-01-02T00:00:00.0,35.4,0.0,0.08669385289231234,0.226644370122631,388.2984845363353
2020-01-02T01:00:00.0,31.98,0.0,0.07717867391632684,0.22519509476031216,366.19546696466693
2020-01-02T02:00:00.0,30.5,0.0,0.08412626491466546,0.2471571906354515,369.94939024072187
2020-01-02T03:00:00.0,28.79,0.0,0.10345869204047727,0.2625418060200669,375.84951669505085
2020-01-02T04:00:00.0,28.42,0.0,0.11357800936414439,0.2633221850613155,378.65202670458655
