Timestamp,Dayahead_price,Solar_profile,Wind_profile
2019-01-01T00:00:00Z,68.92,0,0.5085
2019-01-01T01:00:00Z,64.98,0,0.5147
2019-01-01T02:00:00Z,60.27,0,0.5425
2019-01-01T03:00:00Z,49.97,0,0.5819
2019-01-01T04:00:00Z,47.66,0,0.6086
2019-01-01T05:00:00Z,48.00,0,0.6333
2019-01-01T06:00:00Z,49.75,0,0.6524
2019-01-01T07:00:00Z,55.12,0.0018,0.6666
2019-01-01T08:00:00Z,44.80,0.0123,0.659
2019-01-01T09:00:00Z,49.58,0.0288,0.6834
2019-01-01T10:00:00Z,55.44,0.0433,0.7292
2019-01-01T11:00:00Z,62.62,0.047,0.733
2019-01-01T12:00:00Z,57.40,0.0423,0.7444
2019-01-01T13:00:00Z,50.76,0.0273,0.7528
2019-01-01T14:00:00Z,49.92,0.0094,0.7524
2019-01-01T15:00:00Z,50.05,0.0004,0.775
2019-01-01T16:00:00Z,50.60,0,0.7871
2019-01-01T17:00:00Z,60.72,0,0.7868
2019-01-01T18:00:00Z,50.51,0,0.7804
2019-01-01T19:00:00Z,47.35,0,0.78
2019-01-01T20:00:00Z,50.40,0,0.7712
2019-01-01T21:00:00Z,47.53,0,0.752
2019-01-01T22:00:00Z,51.06,0,0.7446
2019-01-01T23:00:00Z,47.55,0,0.7065
2019-01-02T00:00:00Z,49.00,0,0.687
2019-01-02T01:00:00Z,46.60,0,0.676
2019-01-02T02:00:00Z,46.60,0,0.6654
2019-01-02T03:00:00Z,45.73,0,0.673
2019-01-02T04:00:00Z,46.01,0,0.695
2019-01-02T05:00:00Z,46.45,0,0.7179
2019-01-02T06:00:00Z,47.86,0,0.7214
2019-01-02T07:00:00Z,49.50,0.0023,0.6961
2019-01-02T08:00:00Z,52.42,0.0311,0.6736
2019-01-02T09:00:00Z,52.42,0.0872,0.661
2019-01-02T10:00:00Z,52.36,0.1332,0.6574
2019-01-02T11:00:00Z,51.94,0.1458,0.6558
2019-01-02T12:00:00Z,51.59,0.1319,0.6426
2019-01-02T13:00:00Z,51.77,0.0897,0.6015
2019-01-02T14:00:00Z,52.61,0.0315,0.5548
2019-01-02T15:00:00Z,60.00,0.0018,0.5219
2019-01-02T16:00:00Z,69.95,0,0.5001
2019-01-02T17:00:00Z,80.00,0,0.4626
2019-01-02T18:00:00Z,77.67,0,0.4266
2019-01-02T19:00:00Z,76.53,0,0.3929
2019-01-02T20:00:00Z,67.29,0,0.3645
2019-01-02T21:00:00Z,55.64,0,0.3401
2019-01-02T22:00:00Z,53.81,0,0.3148
2019-01-02T23:00:00Z,52.43,0,0.3096
2019-01-03T00:00:00Z,50.12,0,0.3106
2019-01-03T01:00:00Z,47.10,0,0.3014
2019-01-03T02:00:00Z,46.40,0,0.3107
2019-01-03T03:00:00Z,44.00,0,0.3251
2019-01-03T04:00:00Z,43.88,0,0.3388
2019-01-03T05:00:00Z,45.92,0,0.3434
2019-01-03T06:00:00Z,52.46,0,0.3443
2019-01-03T07:00:00Z,58.63,0.0038,0.3415
2019-01-03T08:00:00Z,65.08,0.0338,0.3196
2019-01-03T09:00:00Z,75.58,0.0737,0.2736
2019-01-03T10:00:00Z,79.68,0.0997,0.2314
2019-01-03T11:00:00Z,74.29,0.1004,0.2051
2019-01-03T12:00:00Z,73.70,0.0868,0.1807
2019-01-03T13:00:00Z,70.31,0.0568,0.167
2019-01-03T14:00:00Z,69.90,0.0177,0.1678
2019-01-03T15:00:00Z,68.45,0.0009,0.1852
2019-01-03T16:00:00Z,70.00,0,0.2102
2019-01-03T17:00:00Z,73.70,0,0.217
2019-01-03T18:00:00Z,83.70,0,0.2161
2019-01-03T19:00:00Z,71.34,0,0.2114
2019-01-03T20:00:00Z,68.38,0,0.1958
2019-01-03T21:00:00Z,61.72,0,0.174
2019-01-03T22:00:00Z,53.81,0,0.1623
2019-01-03T23:00:00Z,49.98,0,0.1641
2019-01-04T00:00:00Z,51.63,0,0.1959
2019-01-04T01:00:00Z,47.11,0,0.2304
2019-01-04T02:00:00Z,47.07,0,0.2665
2019-01-04T03:00:00Z,46.21,0,0.3043
2019-01-04T04:00:00Z,47.00,0,0.3381
2019-01-04T05:00:00Z,46.91,0,0.3706
2019-01-04T06:00:00Z,59.54,0,0.412
2019-01-04T07:00:00Z,68.40,0.0018,0.4343
2019-01-04T08:00:00Z,74.19,0.0147,0.4488
2019-01-04T09:00:00Z,80.00,0.0325,0.4734
2019-01-04T10:00:00Z,85.38,0.045,0.5055
2019-01-04T11:00:00Z,82.61,0.0441,0.5406
2019-01-04T12:00:00Z,69.67,0.0352,0.5615
2019-01-04T13:00:00Z,69.73,0.0208,0.5538
2019-01-04T14:00:00Z,69.73,0.0066,0.5474
2019-01-04T15:00:00Z,73.00,0.0004,0.5544
2019-01-04T16:00:00Z,76.00,0,0.5642
2019-01-04T17:00:00Z,89.90,0,0.5608
2019-01-04T18:00:00Z,73.30,0,0.5529
2019-01-04T19:00:00Z,55.00,0,0.547
2019-01-04T20:00:00Z,52.73,0,0.5468
2019-01-04T21:00:00Z,52.12,0,0.551
2019-01-04T22:00:00Z,51.43,0,0.5766
2019-01-04T23:00:00Z,50.64,0,0.5963
2019-01-05T00:00:00Z,50.02,0,0.6081
2019-01-05T01:00:00Z,46.00,0,0.6265
2019-01-05T02:00:00Z,45.68,0,0.646
2019-01-05T03:00:00Z,45.49,0,0.6606
2019-01-05T04:00:00Z,45.00,0,0.6538
2019-01-05T05:00:00Z,43.80,0,0.6646
2019-01-05T06:00:00Z,45.90,0,0.6396
2019-01-05T07:00:00Z,46.68,0.0014,0.6102
2019-01-05T08:00:00Z,51.65,0.0078,0.5864
2019-01-05T09:00:00Z,52.41,0.0188,0.5579
2019-01-05T10:00:00Z,52.62,0.0304,0.5324
2019-01-05T11:00:00Z,52.71,0.0345,0.5048
2019-01-05T12:00:00Z,73.00,0.028,0.49
2019-01-05T13:00:00Z,73.00,0.0167,0.4629
2019-01-05T14:00:00Z,68.96,0.0052,0.4402
2019-01-05T15:00:00Z,64.12,0.0002,0.4269
2019-01-05T16:00:00Z,59.61,0,0.4188
2019-01-05T17:00:00Z,75.14,0,0.4152
2019-01-05T18:00:00Z,74.70,0,0.3978
2019-01-05T19:00:00Z,73.00,0,0.3933
2019-01-05T20:00:00Z,68.07,0,0.3827
2019-01-05T21:00:00Z,53.62,0,0.361
2019-01-05T22:00:00Z,52.82,0,0.3496
2019-01-05T23:00:00Z,62.36,0,0.335
2019-01-06T00:00:00Z,51.95,0,0.3164
2019-01-06T01:00:00Z,50.00,0,0.2937
2019-01-06T02:00:00Z,48.38,0,0.2806
2019-01-06T03:00:00Z,48.02,0,0.267
2019-01-06T04:00:00Z,45.91,0,0.2538
2019-01-06T05:00:00Z,47.17,0,0.2267
2019-01-06T06:00:00Z,48.19,0,0.2029
2019-01-06T07:00:00Z,49.11,0.0017,0.1917
2019-01-06T08:00:00Z,50.70,0.0154,0.169
2019-01-06T09:00:00Z,53.40,0.0366,0.1566
2019-01-06T10:00:00Z,56.55,0.0515,0.1462
2019-01-06T11:00:00Z,60.02,0.0555,0.147
2019-01-06T12:00:00Z,60.22,0.0475,0.1578
2019-01-06T13:00:00Z,55.00,0.0302,0.1579
2019-01-06T14:00:00Z,52.39,0.01,0.1636
2019-01-06T15:00:00Z,51.57,0.0006,0.1772
2019-01-06T16:00:00Z,54.71,0,0.2005
2019-01-06T17:00:00Z,63.43,0,0.2166
2019-01-06T18:00:00Z,67.37,0,0.2253
2019-01-06T19:00:00Z,67.20,0,0.2151
2019-01-06T20:00:00Z,66.03,0,0.2129
2019-01-06T21:00:00Z,55.36,0,0.2123
2019-01-06T22:00:00Z,58.59,0,0.2124
2019-01-06T23:00:00Z,51.89,0,0.2197
2019-01-07T00:00:00Z,46.03,0,0.2238
2019-01-07T01:00:00Z,47.98,0,0.2314
2019-01-07T02:00:00Z,47.84,0,0.232
2019-01-07T03:00:00Z,46.11,0,0.2352
2019-01-07T04:00:00Z,46.08,0,0.2423
2019-01-07T05:00:00Z,47.62,0,0.2328
2019-01-07T06:00:00Z,55.77,0,0.2075
2019-01-07T07:00:00Z,68.61,0.0015,0.1899
2019-01-07T08:00:00Z,74.15,0.0138,0.1758
2019-01-07T09:00:00Z,74.93,0.0322,0.1822
2019-01-07T10:00:00Z,73.59,0.0451,0.2175
2019-01-07T11:00:00Z,71.23,0.0482,0.2674
2019-01-07T12:00:00Z,67.27,0.0418,0.307
2019-01-07T13:00:00Z,65.14,0.0266,0.3372
2019-01-07T14:00:00Z,62.56,0.0092,0.3779
2019-01-07T15:00:00Z,57.56,0.0007,0.4311
2019-01-07T16:00:00Z,56.99,0,0.494
2019-01-07T17:00:00Z,72.82,0,0.5668
2019-01-07T18:00:00Z,52.89,0,0.6392
2019-01-07T19:00:00Z,50.00,0,0.7109
2019-01-07T20:00:00Z,51.00,0,0.7512
2019-01-07T21:00:00Z,49.00,0,0.7407
2019-01-07T22:00:00Z,47.54,0,0.7571
2019-01-07T23:00:00Z,44.40,0,0.7626
2019-01-08T00:00:00Z,36.70,0,0.7597
2019-01-08T01:00:00Z,45.56,0,0.759
2019-01-08T02:00:00Z,39.00,0,0.7636
2019-01-08T03:00:00Z,40.00,0,0.7587
2019-01-08T04:00:00Z,32.80,0,0.7603
2019-01-08T05:00:00Z,43.00,0,0.7934
2019-01-08T06:00:00Z,53.96,0,0.8093
2019-01-08T07:00:00Z,53.00,0.0018,0.8213
2019-01-08T08:00:00Z,59.80,0.0158,0.8427
2019-01-08T09:00:00Z,60.10,0.0381,0.8513
2019-01-08T10:00:00Z,55.89,0.0544,0.8544
2019-01-08T11:00:00Z,53.48,0.0632,0.8635
2019-01-08T12:00:00Z,48.70,0.0577,0.8594
2019-01-08T13:00:00Z,49.01,0.0374,0.8546
2019-01-08T14:00:00Z,52.38,0.0135,0.8526
2019-01-08T15:00:00Z,52.37,0.001,0.8588
2019-01-08T16:00:00Z,52.84,0,0.8568
2019-01-08T17:00:00Z,78.24,0,0.8498
2019-01-08T18:00:00Z,52.29,0,0.848
2019-01-08T19:00:00Z,48.38,0,0.8418
2019-01-08T20:00:00Z,50.10,0,0.8323
2019-01-08T21:00:00Z,51.12,0,0.7988
2019-01-08T22:00:00Z,50.66,0,0.7824
2019-01-08T23:00:00Z,46.72,0,0.7725
2019-01-09T00:00:00Z,42.60,0,0.7442
2019-01-09T01:00:00Z,39.50,0,0.7326
2019-01-09T02:00:00Z,37.00,0,0.726
2019-01-09T03:00:00Z,42.40,0,0.7194
2019-01-09T04:00:00Z,36.42,0,0.7027
2019-01-09T05:00:00Z,42.00,0,0.7044
2019-01-09T06:00:00Z,50.63,0,0.705
2019-01-09T07:00:00Z,57.51,0.0016,0.6988
2019-01-09T08:00:00Z,66.69,0.0163,0.6869
2019-01-09T09:00:00Z,65.90,0.0408,0.6824
2019-01-09T10:00:00Z,68.20,0.0587,0.6898
2019-01-09T11:00:00Z,54.00,0.059,0.6966
2019-01-09T12:00:00Z,51.09,0.0498,0.7022
2019-01-09T13:00:00Z,50.10,0.0326,0.6915
2019-01-09T14:00:00Z,52.56,0.0128,0.6779
2019-01-09T15:00:00Z,53.95,0.0011,0.6686
2019-01-09T16:00:00Z,64.37,0,0.6475
2019-01-09T17:00:00Z,75.64,0,0.6381
2019-01-09T18:00:00Z,74.22,0,0.6204
2019-01-09T19:00:00Z,55.98,0,0.5845
2019-01-09T20:00:00Z,54.73,0,0.531
2019-01-09T21:00:00Z,50.02,0,0.4717
2019-01-09T22:00:00Z,52.64,0,0.4242
2019-01-09T23:00:00Z,50.31,0,0.3757
2019-01-10T00:00:00Z,51.07,0,0.3385
2019-01-10T01:00:00Z,49.61,0,0.3006
2019-01-10T02:00:00Z,48.63,0,0.2703
2019-01-10T03:00:00Z,48.80,0,0.249
2019-01-10T04:00:00Z,48.50,0,0.2242
2019-01-10T05:00:00Z,49.80,0,0.2
2019-01-10T06:00:00Z,59.29,0,0.173
2019-01-10T07:00:00Z,72.60,0.0018,0.1485
2019-01-10T08:00:00Z,81.17,0.0152,0.1237
2019-01-10T09:00:00Z,81.79,0.0338,0.1024
2019-01-10T10:00:00Z,81.15,0.0463,0.0904
2019-01-10T11:00:00Z,80.00,0.0508,0.083
2019-01-10T12:00:00Z,76.39,0.0434,0.0791
2019-01-10T13:00:00Z,75.00,0.0278,0.0734
2019-01-10T14:00:00Z,76.06,0.01,0.0695
2019-01-10T15:00:00Z,75.40,0.0008,0.0696
2019-01-10T16:00:00Z,76.78,0,0.0767
2019-01-10T17:00:00Z,83.45,0,0.0872
2019-01-10T18:00:00Z,85.15,0,0.0967
2019-01-10T19:00:00Z,78.16,0,0.102
2019-01-10T20:00:00Z,71.92,0,0.1159
2019-01-10T21:00:00Z,67.25,0,0.1332
2019-01-10T22:00:00Z,62.04,0,0.153
2019-01-10T23:00:00Z,51.07,0,0.1698
