periods,weights,selected_periods
2,4.798724191101669,true
3,3.441072359006861,true
4,1.0347744899822036,true
11,4.421735278250898,true
19,3.5728374811367445,true
21,5.120645273649144,true
22,4.415136806002707,true
25,11.984198742305194,true
29,1.7611577998874202,true
31,3.477255305934404,true
36,5.220497158183727,true
44,1.201134982498285,true
47,2.1955105975355655,true
48,1.274382820432575,true
51,2.885624081282913,true
54,3.403503357853208,true
65,5.879940478631507,true
68,1.9022581429638055,true
70,2.2877069413137363,true
71,2.7834793273882914,true
75,2.5793524966337777,true
78,1.0956023850922758,true
91,2.2824878627507554,true
100,5.232932819836423,true
101,7.24361051371295,true
102,7.057463894855013,true
108,2.0138592456560347,true
111,3.7607076016582974,true
113,8.150942305422989,true
119,1.6300540260048344,true
123,7.45018457955263,true
125,3.3047609906012547,true
131,8.450224818569247,true
132,1.2220922883649143,true
140,2.5587156034490204,true
142,6.554320698311937,true
143,5.19152919058987,true
153,4.2493679715861985,true
158,5.535146973232871,true
159,1.098609405775374,true
163,3.2513899102223807,true
172,8.606706657396417,true
173,5.374920248716233,true
175,1.6915643650785523,true
185,5.100289396022673,true
187,2.3704290003179254,true
188,3.069871779810859,true
199,7.435511508096652,true
204,3.008094575075147,true
206,3.577251167370263,true
210,4.022894958466419,true
213,1.8985096907417058,true
218,2.392310818275212,true
224,1.518009011714632,true
225,2.692051136041979,true
227,4.462171636676797,true
229,3.711416963936073,true
235,1.7874893301100412,true
241,8.13711905454156,true
243,1.4645409156827083,true
248,4.735153776579446,true
255,2.6115892526770725,true
256,3.1426284738763948,true
258,1.11227002376961,true
261,2.014628134165714,true
268,6.919015060952762,true
269,8.063265400300663,true
272,7.091296765907801,true
273,12.03035958717999,true
276,2.950246764403735,true
278,3.775172921560062,true
288,3.5718139059539817,true
291,7.883170030022827,true
299,3.0947054952785362,true
301,2.570704706418408,true
312,2.1515551046575827,true
331,2.6107986523022486,true
332,3.181426076043051,true
337,2.873528209249211,true
338,5.326182766699507,true
339,2.996422844318581,true
342,4.5672411761226765,true
343,2.4440762195302015,true
350,1.4752737985913291,true
352,14.615712919146189,true
357,5.6533274179388995,true
361,4.790744000418578,true
363,3.402060465153691,true
364,2.0495466394886077,true
