Solar_profile,Wind_on_profile,Wind_off_profile,Dayahead_price
0.0,0.4177057356608479,0.8951521984216461,68.92
0.0,0.4320448877805486,0.8957158962795941,64.98
0.0,0.458073566084788,0.9052987598647125,60.27
0.0,0.4850374064837905,0.92728297632469,49.97
0.0,0.5015586034912718,0.9255918827508456,47.66
0.0,0.532574812967581,0.9241826381059751,48.00
0.0,0.5327306733167082,0.9230552423900789,49.75
0.0,0.5254052369077307,0.9258737316798196,55.12
0.0,0.5004675810473815,0.9033258173618941,44.80
0.0,0.3859102244389027,0.8771138669673055,49.58
0.00847457627118644,0.4381234413965087,0.8080608793686584,55.44
0.02966101694915254,0.46695760598503744,0.8252536640360766,62.62
0.046610169491525424,0.4505922693266833,0.8627395715896279,57.40
0.05932203389830508,0.4538653366583541,0.919954904171364,50.76
0.05508474576271186,0.494856608478803,0.9131905298759865,49.92
0.0211864406779661,0.5127805486284289,0.9137542277339347,50.05
0.0,0.5353802992518703,0.9140360766629088,50.60
0.0,0.5470698254364089,0.9106538895152199,60.72
0.0,0.5489401496259352,0.9160090191657272,50.51
0.0,0.548784289276808,0.8804960541149943,47.35
0.0,0.5501870324189526,0.8709131905298759,50.40
0.0,0.5578241895261846,0.8810597519729424,47.53
0.0,0.5481608478802993,0.8886696730552424,51.06
0.0,0.5358478802992519,0.895152198421646,47.55
0.0,0.51714463840399,0.8835963923337091,49.00
0.0,0.5310162094763092,0.9145997745208568,46.60
0.0,0.5289900249376559,0.9247463359639234,46.60
0.0,0.5392768079800498,0.9258737316798197,45.73
0.0,0.5129364089775561,0.9258737316798196,46.01
0.0,0.5007793017456359,0.9284103720405863,46.45
0.0,0.4535536159600998,0.9239007891770011,47.86
0.0,0.49438902743142144,0.9182638105975197,49.50
0.0,0.3947942643391521,0.9264374295377678,52.42
0.00847457627118644,0.3218516209476309,0.9244644870349492,52.42
0.02966101694915254,0.302213216957606,0.9044532130777903,52.36
0.038135593220338986,0.27493765586034913,0.89543404735062,51.94
0.05084745762711865,0.2768079800498753,0.854847801578354,51.59
0.0423728813559322,0.22132169576059849,0.8125704622322436,51.77
0.03813559322033898,0.15835411471321698,0.7807215332581736,52.61
0.012711864406779662,0.18781172069825436,0.6375422773393461,60.00
0.0,0.17051122194513718,0.5797632468996619,69.95
0.0,0.1443266832917706,0.4303833145434047,80.00
0.0,0.1616271820448878,0.3971251409244645,77.67
0.0,0.17222568578553615,0.33652762119503943,76.53
0.0,0.17269326683291772,0.36668545659526497,67.29
0.0,0.13591022443890274,0.35428410372040586,55.64
0.0,0.13154613466334164,0.3920518602029312,53.81
0.0,0.15663965087281795,0.5019729425028184,52.43
0.0,0.15227556109725685,0.39515219842164595,50.12
0.0,0.14541770573566085,0.5713077790304396,47.10
0.0,0.1675498753117207,0.576381059751973,46.40
0.0,0.13591022443890274,0.4844983089064261,44.00
0.0,0.13045511221945136,0.46054114994363027,43.88
0.0,0.12250623441396509,0.3878241262683202,45.92
0.0,0.11518079800498753,0.42643742953776775,52.46
0.0,0.11783042394014961,0.4780157835400225,58.63
0.0,0.118142144638404,0.47688838782412624,65.08
0.0211864406779661,0.12281795511221946,0.520011273957159,75.58
0.046610169491525424,0.12032418952618454,0.5005636978579482,79.68
0.11016949152542374,0.0997506234413965,0.507891770011274,74.29
0.11864406779661017,0.10504987531172069,0.40078917700112743,73.70
0.12288135593220338,0.1111284289276808,0.39853438556933485,70.31
0.09745762711864407,0.09803615960099751,0.31651634723788047,69.90
