period,time_step,WindOffshore,WindOnshore,Price,Solar
8,1,0.37309550353028614,1.0,25.27,0.0
8,2,0.38089929394277217,1.0,25.77,0.0
8,3,0.38189025145546884,1.0,23.24,0.0
8,4,0.3817663817663818,0.9918285377930127,19.76,0.0
8,5,0.38151864238820754,0.9516637235552785,19.28,0.0
8,6,0.35624922581444324,0.8825871680343478,23.86,0.0
8,7,0.2894834633965068,0.8820677954364461,27.7,0.0
8,8,0.26074569552830423,0.8555797929434575,40.07,0.0
8,9,0.3661588009414096,0.8154149787057234,42.66,0.0
8,10,0.36665427969775793,0.8003531733665732,44.21,0.005592841163310962
8,11,0.3472067385110863,0.7504934039680066,46.17,0.041014168530947054
8,12,0.3169825343738387,0.6606419445310064,46.18,0.07270693512304251
8,13,0.29419051158181597,0.5482843391849312,46.85,0.09694258016405667
8,14,0.2385730211817168,0.4920189744122433,44.9,0.07643549589858314
8,15,0.17341756472191253,0.3415740452200408,46.04,0.06338553318419089
8,16,0.11755233494363929,0.2981198711955957,46.33,0.048471290082028336
8,17,0.07741855567942524,0.22090647830753782,47.9,0.0018642803877703207
8,18,0.04261117304595566,0.1868010110453239,58.92,0.0
8,19,0.04112473677691069,0.15927426335653197,55.92,0.0
8,20,0.06874767744332962,0.13209376406634118,56.67,0.0
8,21,0.027127461910070604,0.11114573595097123,48.1,0.0
8,22,0.003963830050786573,0.090717080433503,44.92,0.0
8,23,0.0019819150253932863,0.08552335445448565,41.51,0.0
8,24,0.020562368388455345,0.08933208683909837,39.41,0.0
14,1,0.3768115942028985,1.0,23.1,0.0
14,2,0.37817416078285643,1.0,19.67,0.0
14,3,0.3742103307320699,1.0,14.61,0.0
14,4,0.36876006441223835,1.0,8.93,0.0
14,5,0.36603493125232256,1.0,8.24,0.0
14,6,0.33481976960237825,1.0,17.29,0.0
14,7,0.3688839341013254,1.0,27.4,0.0
14,8,0.377430942648334,0.9165195110972612,31.74,0.0
14,9,0.3773070729592468,0.8367092552196946,35.91,0.0
14,10,0.3724761550848507,0.824244312870053,39.57,0.011185682326621925
14,11,0.3763161154465502,0.8192237110903362,39.85,0.06338553318419089
14,12,0.37718320327015975,0.832034901838579,39.87,0.11372110365398956
14,13,0.3784219001610306,0.8484817007721338,35.0,0.16592095451155855
14,14,0.3782980304719435,0.9130570271112496,30.0,0.12304250559284116
14,15,0.3782980304719435,0.921540112876978,34.49,0.02982848620432513
14,16,0.37805029109376936,0.9566843253349953,32.99,0.011185682326621925
14,17,0.3784219001610306,1.0,32.38,0.0018642803877703207
14,18,0.3782980304719435,1.0,38.0,0.0
14,19,0.35885048928527186,1.0,35.1,0.0
14,20,0.3365539452495974,1.0,30.1,0.0
14,21,0.33246624550972376,1.0,30.0,0.0
14,22,0.29716338411990584,1.0,31.16,0.0
14,23,0.16648086213303603,1.0,29.16,0.0
14,24,0.19038771212684255,1.0,27.5,0.0
24,1,0.06589867459432677,0.045877912814653234,35.19,0.0
24,2,0.05066270283661588,0.04899414840206364,35.72,0.0
24,3,0.05152979066022544,0.051071638793670576,35.18,0.0
24,4,0.05425492382014121,0.05228350818877463,34.12,0.0
24,5,0.07481729220859655,0.056611613171289085,34.47,0.0
24,6,0.090920351789917,0.06319033274471106,30.0,0.0
24,7,0.09637061810974853,0.061805339150306435,42.45,0.0
24,8,0.08348817044469219,0.05955472455939891,58.29,0.0
24,9,0.0719682893595937,0.055399743776185034,66.74,0.0
24,10,0.09785705437879351,0.06267096014680931,65.0,0.018642803877703205
24,11,0.13477022172674347,0.0858696028530868,61.12,0.0540641312453393
24,12,0.12424129815434162,0.09331394342301166,58.84,0.0708426547352722
24,13,0.11036789297658862,0.08621585125168796,56.61,0.0894854586129754
24,14,0.1397250092902267,0.10127765659083827,53.29,0.098806860551827
24,15,0.14108757587018458,0.12222568470620823,52.0,0.07457121551081282
24,16,0.15830546265328874,0.1438662096187805,53.06,0.02609992542878449
24,17,0.13613278830670134,0.12516879609431808,54.01,0.0037285607755406414
24,18,0.11767620463272636,0.10525951317475157,60.79,0.0
24,19,0.11383624427102687,0.10456701637754925,65.1,0.0
24,20,0.11160658986745943,0.12153318790900593,59.55,0.0
24,21,0.09525579090796481,0.14507807901388456,45.14,0.0
24,22,0.09550353028613899,0.17606731068868806,43.27,0.0
24,23,0.10764275981667286,0.1828191544614106,42.51,0.0
24,24,0.11792394401090053,0.17849104947889616,33.5,0.0
25,1,0.11829555307816178,0.1693154669159655,27.1,0.0
25,2,0.12684256162517032,0.17191232990547417,28.11,0.0
25,3,0.10454601758949585,0.16914234271666492,27.3,0.0
25,4,0.10008670878236095,0.15996676015373426,26.5,0.0
25,5,0.10070605722779637,0.16342924413974586,27.1,0.0
25,6,0.10813823857302118,0.1741629444963817,27.1,0.0
25,7,0.12027746810355505,0.18472352065371697,29.0,0.0
25,8,0.11841942276724886,0.16723797652435857,35.0,0.0
25,9,0.09166356992443948,0.1623904989439424,39.9,0.0
25,10,0.09426483339526817,0.1440393338180811,43.34,0.018642803877703205
25,11,0.11160658986745943,0.14369308541947992,45.77,0.04287844891871737
25,12,0.09872414220240307,0.15806239396142793,44.7,0.07457121551081282
25,13,0.2785829307568438,0.16083238115023718,43.36,0.08202833706189411
25,14,0.2803171064040629,0.1327862608635435,39.38,0.08389261744966442
