name,capacity,cost
Total costs,,1.5076749214077562e6
Average cost of Hydrogen,,3.4899882439994356
Electrolyzer capacity factor,0.8275585227281747,
solar,22.595435004002418,595170.8289202244
wind_on,11.758676004320373,770204.7806836346
wind_off,0.0,0.0
electrolyzer,6.566604757400233,226052.52735502057
storage,295.7035623976191,6548.790554022174
Total profit power market,,382808.3422129074
