name,capacity,cost
Total costs,,1.8325794525475581e6
Average cost of Hydrogen,,4.24208206608231
Electrolyzer capacity factor,0.5627189313598557,
solar,29.40521151331666,774542.473196695
wind_on,12.300077246037176,805667.0916177165
wind_off,0.7988356603870049,117746.21088771701
electrolyzer,9.71327795821722,334375.39070436073
storage,3680.1010254839107,81501.25293766292
Total profit power market,,281252.966796591
